PC1,PC2,Cluster
-0.3578077570076609,2.082369184219873,0
-1.2107101952564072,0.9377720493239412,0
2.4221599613449394,-0.0653097249539892,1
0.9156792030285872,1.0197074117687897,0
-0.2811786497228418,1.848164747488693,0
-0.599807125466135,0.5486399694789401,0
-0.3935386593232026,-0.1434926932947221,0
3.1003879580062077,-0.0725673548518528,1
0.00973662255566,-0.734297264964637,0
0.2349162159303995,-2.049773070185213,0
-0.6985481897212501,1.6382389398153527,0
-0.1533261784864831,0.1180045706174908,0
0.5283196506039006,0.0016641900542902,0
-0.4809189346456068,1.3602353909232092,0
-0.4984974258716965,0.6823391186727021,0
2.831012205428694,-0.0919110448216068,1
-0.7313263043985826,2.2531623583242446,0
-0.0390805384309112,0.8435199458039764,0
-0.1198859787590985,-1.119137027431099,0
1.009537806488791,-0.2925327962809369,0
-0.7484811880425061,1.319765367451252,0
-1.1372708407319057,-0.0555050972675628,0
0.3076448052531625,-0.2101954587493153,0
0.7694124421439659,-0.7766218902768747,0
-0.7351503076874256,0.2824157384760346,0
-0.6054056922639796,0.6420268343906415,0
-0.6288607572429802,-1.191180070542074,0
2.879021686317921,-1.8199982405878397,-1
-1.2639219947233489,-0.4754234580432304,0
0.0511463847656909,-0.4648989020435827,0
-0.9595770750843956,-1.7655857740934937,0
-0.3155117438977132,1.1245322847996384,0
0.5525498995366084,-0.1903555865172655,0
-1.3397211937505804,1.4152056152752075,0
-0.190010905310051,-1.7059573711087572,0
-1.5755319971835775,1.307952980754299,0
0.520036998121907,0.8732744521933972,0
-0.4135043599938666,-0.6265195074872034,0
0.1810560138843279,-2.4895091636782323,0
0.5289525186023427,-0.6695610405075795,0
2.5865560219600905,-0.0551062069299015,1
0.094733047309225,1.2950501972283848,0
2.458766666729325,1.8114993787878837,-1
0.2440944981683243,0.2138520484626153,0
-0.2492258558848866,0.0978025947950982,0
1.6529147480801791,0.1443871668347956,2
2.280207212008756,-0.1601444822013396,1
0.6058272164822994,-0.6188481732735319,0
-0.4875636534288727,-0.6066166489992078,0
0.8251868625497598,-1.441079198908538,0
-0.7947384633986694,-0.3545315578282599,0
0.032372856255245,-1.5486390976378202,0
0.1875220420812891,-0.7663633812947248,0
-0.4049857613328375,0.281190287730302,0
0.2895074294129934,-2.115357650179416,0
0.6205532494533141,-0.1167132345992901,0
-0.7528042946436556,-0.2119845092789615,0
0.6521195693029356,-0.2947125879429687,0
-0.1185603816767334,0.4163916466159599,0
-0.8431151294440254,-0.0428870694948798,0
-0.0350066409320225,-0.912045539176356,0
0.5913281644533023,0.6601775981731343,0
-1.0388417677493569,-1.4162700151417926,0
0.2694312853634105,-1.2326311152312424,0
-0.1986950670296615,1.095212276546278,0
0.9571721234594012,0.4325864297534894,0
0.868529237244531,0.7051352640747491,0
-1.4654614672087072,-0.7039268592221323,0
