PC1,PC2,Cluster
3.384983500486039,-0.2302257439745277,5
3.4143392750997537,-0.0453358413474278,5
3.3547525519505794,-0.1790044852789793,5
3.62764365124819,0.0101026235501601,5
3.505874958051657,-0.1871744995121935,5
3.624310279786232,-0.0661513030443092,5
3.394992709924624,-0.1712086322592195,5
3.535283321056185,-0.1993731723431539,5
3.660400291148264,-0.1151346935485378,5
3.6226481415816094,-0.189150600375594,5
3.524457336467544,-0.2389156009879811,5
3.599996792849033,-0.2293286544096081,5
3.513320793168406,-0.0463453247978825,5
3.636888673927531,-0.1084941571221108,5
3.54877663378562,-0.095286152416789,5
3.426147672100932,-0.2457446850187017,5
3.4765361505807,-0.1710199330788326,5
3.566423377798904,-0.0846166542404291,5
3.4933868352583946,-0.3497162254883055,5
3.4723073533824054,-0.0620104021371213,5
3.5629769574652768,-0.137482567047339,5
3.529380764891513,-0.1742671331445137,5
3.705746481951517,-0.0621224928704696,5
3.513518303007234,-0.2550700158452487,5
3.379888624418711,-0.0548497197782684,5
3.5192552219094235,-0.059699465798269,5
3.607442627965781,-0.088499479695297,5
3.4160105083570884,-0.0920812120842433,5
3.5780810429711893,-0.2538414795282901,5
3.4008894557084184,-0.1767667686637529,5
3.695667716979362,-0.1250954981881784,5
3.558902176767709,-0.2098538197630338,5
3.5864508917287856,-0.1363270988779128,5
3.592498369341473,-0.1730692536658589,5
3.564752144541569,-0.0378712835036138,5
3.5604284885770285,-0.2449630749105432,5
3.5604947594387637,-0.0908104160341493,5
