PC1,PC2
-0.35780775700766093,2.0823691842198735
-1.2107101952564072,0.9377720493239412
2.4221599613449394,-0.06530972495398928
0.9156792030285872,1.0197074117687897
-0.2811786497228418,1.848164747488693
-0.599807125466135,0.5486399694789401
-0.3935386593232026,-0.14349269329472217
3.1003879580062073,-0.07256735485185288
0.00973662255566008,-0.734297264964637
0.23491621593039952,-2.049773070185213
-0.6985481897212501,1.6382389398153527
-0.1533261784864831,0.11800457061749085
0.5283196506039006,0.0016641900542902481
-0.4809189346456068,1.3602353909232092
-0.49849742587169654,0.6823391186727021
2.831012205428694,-0.09191104482160689
-0.7313263043985826,2.2531623583242446
-0.03908053843091127,0.8435199458039764
-0.11988597875909857,-1.119137027431099
1.009537806488791,-0.2925327962809369
-0.7484811880425061,1.319765367451252
-1.1372708407319057,-0.0555050972675628
0.30764480525316257,-0.2101954587493153
0.7694124421439659,-0.7766218902768747
-0.7351503076874256,0.2824157384760346
-0.6054056922639796,0.6420268343906415
-0.6288607572429802,-1.191180070542074
2.879021686317921,-1.8199982405878394
-1.2639219947233487,-0.47542345804323044
0.05114638476569098,-0.46489890204358275
-0.9595770750843955,-1.7655857740934937
-0.3155117438977132,1.1245322847996384
0.5525498995366084,-0.1903555865172655
-1.3397211937505804,1.4152056152752075
-0.19001090531005105,-1.7059573711087572
-1.5755319971835775,1.3079529807542993
0.520036998121907,0.8732744521933972
-0.4135043599938666,-0.6265195074872034
0.1810560138843279,-2.4895091636782323
0.5289525186023427,-0.6695610405075795
2.5865560219600905,-0.055106206929901536
0.09473304730922508,1.2950501972283848
2.458766666729325,1.8114993787878833
0.2440944981683243,0.21385204846261532
-0.2492258558848866,0.09780259479509824
1.6529147480801791,0.14438716683479566
2.2802072120087558,-0.16014448220133964
0.6058272164822994,-0.6188481732735319
-0.4875636534288727,-0.6066166489992078
0.8251868625497598,-1.441079198908538
-0.7947384633986694,-0.35453155782825996
0.03237285625524503,-1.5486390976378202
0.18752204208128914,-0.7663633812947248
-0.4049857613328375,0.281190287730302
0.2895074294129934,-2.115357650179416
0.6205532494533141,-0.11671323459929019
-0.7528042946436556,-0.2119845092789615
0.6521195693029356,-0.29471258794296873
-0.11856038167673344,0.4163916466159599
-0.8431151294440254,-0.042887069494879894
-0.03500664093202251,-0.9120455391763559
0.5913281644533023,0.6601775981731343
-1.0388417677493567,-1.4162700151417926
0.2694312853634105,-1.2326311152312424
-0.1986950670296615,1.095212276546278
0.9571721234594011,0.4325864297534894
0.868529237244531,0.7051352640747491
-1.4654614672087072,-0.7039268592221323
0.7194399087557212,-0.4338240403983857
-1.6013667389322035,-0.8355037712574287
0.02386090114178594,0.7316604302236083
-0.4022670677638978,0.6891801087504409
-0.4211074164994687,0.7759453396030939
-0.6573711688021281,-1.233595992767408
0.49239144246912553,1.3050258419101766
-0.28374202404467874,1.9299768104876958
2.2837581355247307,-1.2855800004371734
-0.42379368812867174,-0.9449506685420754
-0.1974721952237787,-0.33283588963757693
0.6205064714433792,0.06082743806466326
0.42128204737627556,-1.7088666501277605
2.3326105779953688,-0.8930597128316192
-1.0612056750590582,0.49841320261560196
0.32538447613921756,-0.44166569345078704
-1.1404443853122588,-0.33268771031354527
0.6077064871932432,-0.5407842507530708
-0.6750146281435768,-1.3944622562177613
1.8603788008708586,-1.4665596579184206
-0.33135984413198605,-0.09759146419373126
0.34839172903015664,-1.3144196692883952
-1.4332259491817811,-0.8525096272230679
-1.3888563604101891,-0.5790940570230056
-0.9075810287162762,-0.5493937164137387
0.024314449406824347,-0.07032944542709567
-0.2921293837286146,0.6593896653464303
-0.3004129194092869,-0.29693681021049
0.03084140766432495,-0.7098576595695808
-1.07005951209597,1.6744154517904182
3.0166217222053713,0.4421706199768274
1.8226546898453249,-0.0539688159499458
0.5498552862376781,0.2543338264054973
-1.190020596276473,0.2638434251467591
-0.1842726836614857,-0.8394041533852296
-0.14579908729070332,1.4354103062191979
-0.8220869332124737,0.537678350288544
-0.4186461438868235,-0.10569879532318611
-0.05533233384785465,-0.94816382304604
-0.44580674827790284,2.072189175137636
0.34067377154311945,0.7649086092361984
-1.4950472978368718,-1.4759682491267425
-0.9580792713958789,-0.7509272198400414
3.3736689401998725,0.5027625548032842
2.599814141893475,0.26550150863968275
-0.6837040508806737,0.10159720890809627
0.05658895313734839,0.44447444965266325
-1.1208977845892594,-0.2848907479692332
0.41693439092543444,-1.5569212026043828
-0.5956484331648001,1.7603326302581124
-1.6614192602552695,-0.015145121499987335
-0.22994030055400475,1.3746329093596734
0.62960985734654,-0.1963299922922952
-0.643411774095499,2.4486790446662887
-0.7345337776846418,-0.7027955735963711
-0.9703418458091945,0.3644131119320115
-0.3005868983414956,2.089125200103062
2.603607501148447,-0.5927239556607338
0.5339688238670975,0.5325681826350699
-0.8064766312670021,0.6339574595720373
-0.8164104747911408,0.5593483386650228
0.5018015586273658,0.013924176561857994
-1.477208180766361,-0.8703512590770187
-0.6395749215024269,1.5631096729759124
-1.088538690075883,-0.12332754545308544
2.2004721337516933,0.6222126680368003
-1.5466493434704087,0.7514229546185471
0.010628633804468358,-0.6014599419230197
-0.4938286830955772,0.6318149506190415
0.2921188844911407,-1.7035277181658244
-0.20213950543782883,0.22096693078882676
-0.47843222898459137,0.622832669439365
